date,day,off,id,item_id,name,price,high,low,open,time,updated_at
1400-01-11,Wed,0,59016309,137203,price_dollar_rl,252040,252550,251990,252550,2021-03-31 00:00:00,2021-04-01 00:04:52
1400-01-12,Thu,0,59098470,137203,price_dollar_rl,252100,252100,251990,252040,2021-04-01 00:00:00,2021-04-02 00:04:55
1400-01-13,Fri,0,59169314,137203,price_dollar_rl,244650,252100,244600,252010,2021-04-03 00:00:00,2021-04-04 00:01:58
1400-01-14,Sat,0,59169314,137203,price_dollar_rl,244650,252100,244600,252010,2021-04-03 00:00:00,2021-04-04 00:01:58
1400-01-15,Sun,0,59173379,137203,price_dollar_rl,242720,244710,242630,244700,2021-04-04 00:00:00,2021-04-05 00:01:45
1400-01-16,Mon,0,59182133,137203,price_dollar_rl,244050,245310,242630,242660,2021-04-05 00:00:00,2021-04-06 00:03:19
1400-01-17,Tue,0,59234153,137203,price_dollar_rl,247110,247170,244010,244100,2021-04-06 00:00:00,2021-04-07 00:03:58
1400-01-18,Wed,0,59301151,137203,price_dollar_rl,244620,247170,244620,247150,2021-04-07 00:00:00,2021-04-08 00:04:16
1400-01-19,Thu,0,59371863,137203,price_dollar_rl,244660,244730,244620,244730,2021-04-08 00:00:00,2021-04-09 00:03:50
1400-01-20,Fri,0,59500358,137203,price_dollar_rl,241880,243570,241860,242890,2021-04-10 00:00:00,2021-04-11 00:02:58
1400-01-21,Sat,0,59500358,137203,price_dollar_rl,241880,243570,241860,242890,2021-04-10 00:00:00,2021-04-11 00:02:58
1400-01-22,Sun,0,59504507,137203,price_dollar_rl,242850,243930,241860,241950,2021-04-11 00:00:00,2021-04-12 00:01:39
1400-01-23,Mon,0,59508557,137203,price_dollar_rl,242960,243740,242520,242920,2021-04-12 00:00:00,2021-04-13 00:02:59
1400-01-24,Tue,0,59593485,137203,price_dollar_rl,240900,243060,240790,243020,2021-04-13 00:00:00,2021-04-14 00:04:19
1400-01-25,Wed,0,59660372,137203,price_dollar_rl,242350,242390,240790,240800,2021-04-14 00:00:00,2021-04-15 00:03:58
1400-01-26,Thu,0,59724594,137203,price_dollar_rl,239870,241010,239860,240920,2021-04-15 00:00:00,2021-04-16 00:04:33
1400-01-27,Fri,0,59724594,137203,price_dollar_rl,239870,241010,239860,240920,2021-04-15 00:00:00,2021-04-16 00:04:33
1400-01-28,Sat,0,59851668,137203,price_dollar_rl,239930,240000,239860,239930,2021-04-17 00:00:00,2021-04-18 00:02:47
1400-01-29,Sun,0,59855447,137203,price_dollar_rl,238820,240000,238750,239900,2021-04-18 00:00:00,2021-04-19 00:01:37
1400-01-30,Mon,0,59864652,137203,price_dollar_rl,238170,238860,238170,238830,2021-04-19 00:00:00,2021-04-20 00:03:20
1400-01-31,Tue,0,59943960,137203,price_dollar_rl,233740,238280,233640,238190,2021-04-20 00:00:00,2021-04-21 00:04:30
1400-02-01,Wed,0,60011192,137203,price_dollar_rl,233690,233750,233640,233650,2021-04-21 00:00:00,2021-04-22 00:03:50
1400-02-02,Thu,0,60072550,137203,price_dollar_rl,233300,233750,233280,233750,2021-04-22 00:00:00,2021-04-23 00:04:05
1400-02-03,Fri,0,60117011,137203,price_dollar_rl,233370,233390,233280,233350,2021-04-24 00:00:00,2021-04-25 00:02:37
1400-02-04,Sat,0,60117011,137203,price_dollar_rl,233370,233390,233280,233350,2021-04-24 00:00:00,2021-04-25 00:02:37
1400-02-05,Sun,0,60182895,137203,price_dollar_rl,233390,233390,233280,233280,2021-04-25 00:00:00,2021-04-26 00:01:58
1400-02-06,Mon,0,60191452,137203,price_dollar_rl,232760,233390,232750,233380,2021-04-26 00:00:00,2021-04-27 00:03:57
1400-02-07,Tue,0,60278481,137203,price_dollar_rl,232610,234090,232540,232770,2021-04-27 00:00:00,2021-04-28 00:04:46
1400-02-08,Wed,0,60339354,137203,price_dollar_rl,232330,232650,232310,232640,2021-04-28 00:00:00,2021-04-29 00:04:21
1400-02-09,Thu,0,60406718,137203,price_dollar_rl,232310,232420,232310,232410,2021-04-29 00:00:00,2021-04-30 00:04:27
1400-02-10,Fri,0,60528811,137203,price_dollar_rl,229100,232420,229020,232340,2021-05-01 00:00:00,2021-05-02 00:04:10
